#{"t_start": 1752012191.883212, "env_id": "None"}
r,l,t
-57493.276067,16151,11621.584128
-57292.104258,16151,11748.056867
-57212.49294,16151,11869.964445
-57347.400145,16151,11989.547334
-57424.926879,16151,12108.754556
-57293.151253,16151,12228.171548
-57424.460779,16151,12347.753217
-57399.186731,16151,12467.080665
-57213.484122,16151,12587.020241
-57392.20157,16151,12706.263066
-57297.183548,16151,12825.942557
-57305.132865,16151,12943.860648
-57398.6012,16151,13061.538058
-57390.242075,16151,13179.707734
-57106.890385,16151,13298.310194
-57447.703203,16151,13418.603903
-57370.479763,16151,13538.482539
-57347.261819,16151,13659.990838
-57109.08596,16151,13780.272105
-57446.78539,16151,13900.251528
-57361.593546,16151,14019.782669
-57313.390023,16151,14139.051328
-57463.889219,16151,14256.736939
-57269.366933,16151,14375.368792
-57254.940415,16151,14493.233392
-57344.361348,16151,14612.567872
-57264.627044,16151,14731.7457
-57074.163215,16151,14851.23595
-57114.941851,16151,14970.920105
-57174.068309,16151,15090.183246
-56987.944413,16151,15209.469985
-57005.390944,16151,15328.627356
-56936.450405,16151,15453.75747
-57021.709364,16151,15583.165243
-56985.182709,16151,15712.13384
-57017.702314,16151,15841.097078
-57096.046775,16151,15968.540941
-57224.915155,16151,16098.760487
-57128.075443,16151,16228.820547
-56879.398447,16151,16358.661534
-57131.389853,16151,16488.56868
-56953.404692,16151,16618.464058
-56885.848301,16151,16747.633202
-56983.993719,16151,16877.117032
-56934.11851,16151,17007.299119
-56897.452226,16151,17137.255481
-56912.631093,16151,17269.234292
-56843.429603,16151,17399.110676
-56957.5456,16151,17527.968151
-56818.573234,16151,17657.067094
-56717.097612,16151,17786.039003
-56999.641336,16151,17915.646816
-56943.748196,16151,18049.156014
-56655.101606,16151,18177.951079
-56875.619547,16151,18306.867916
-56823.749514,16151,18432.098404
-56888.39484,16151,18557.719512
-56843.550947,16151,18683.459824
-56951.770555,16151,18813.040846
-56843.014535,16151,18942.854322
-56709.524218,16151,19070.173885
-56843.0846,16151,19194.699365
-56886.231951,16151,19319.743562
-56853.216963,16151,19445.582627
-56648.41789,16151,19571.149648
-56818.807277,16151,19697.375334
-56805.41417,16151,19823.651804
-56701.194263,16151,19950.775629
-56637.48244,16151,20077.233035
-56718.103503,16151,20202.58935
-56774.338686,16151,20327.764244
-56617.252212,16151,20453.293702
-56783.470149,16151,20579.611979
-56655.42144,16151,20705.85679
-56592.539697,16151,20834.045749
-56685.576738,16151,20963.062062
-56511.296315,16151,21091.931285
-56737.827394,16151,21220.531822
-56704.241579,16151,21347.553104
-56584.80135,16151,21475.621243
-56456.993347,16151,21600.661146
-56735.019244,16151,21725.212869
-56824.979292,16151,21851.135955
-56493.848127,16151,21976.665725
-56615.505844,16151,22104.365773
-56510.507083,16151,22233.48347
-56706.94436,16151,22362.959685
-56417.44172,16151,22490.879285
-56481.941464,16151,22620.323146
-56435.137016,16151,22747.704847
-56391.614996,16151,22875.337759
-56512.782184,16151,23002.782101
-56432.55951,16151,23130.226764
-56457.98067,16151,23257.033583
-56392.821634,16151,23384.377332
-56409.716382,16151,23511.461261
